GAME,EPISODE,REWARD_AVG,ACTION_VAL_AVG
Seaquest-v5,700,-1.7,6.121523489393294
Seaquest-v5,720,-1.5,6.032069999836385
Seaquest-v5,740,-1.1,5.963611022010445
Seaquest-v5,760,-2.15,5.779648156259209
Seaquest-v5,780,-1.8,5.66285155300051
Seaquest-v5,800,-1.25,5.61898604683578
Seaquest-v5,820,-0.8,5.731210451200605
Seaquest-v5,840,-2.0,5.94007858324796
Seaquest-v5,860,-2.2,6.0215684517472985
Seaquest-v5,880,-1.7,6.244603072032333
Seaquest-v5,900,-1.85,5.92651547845453
Seaquest-v5,920,-1.9,5.863892546743155
Seaquest-v5,940,-1.0,5.976195335276425
Seaquest-v5,960,-1.85,5.622027699574828
Seaquest-v5,980,-1.6,5.933251993060112
Seaquest-v5,1000,-1.4,6.074941263645887
Seaquest-v5,1020,-1.65,6.035748370066285
Seaquest-v5,1040,-1.1,6.148910125903785
Seaquest-v5,1060,-2.35,6.067336079478264
Seaquest-v5,1080,-2.1,6.477817065566779
Seaquest-v5,1100,-0.95,6.16441676326096
Seaquest-v5,1120,-2.15,5.728933066893369
Seaquest-v5,1140,-0.95,5.572070176005363
Seaquest-v5,1160,-1.0,5.9187262153998015
Seaquest-v5,1180,-0.25,6.145275553911924
Seaquest-v5,1200,0.05,6.232852827422321
Seaquest-v5,1220,0.25,6.337872055321932
Seaquest-v5,1240,-0.75,6.363130679950118
Seaquest-v5,1260,-0.55,5.943990897648036
Seaquest-v5,1280,-1.4,5.941237887479365
Seaquest-v5,1300,-0.95,5.75351875282824
Seaquest-v5,1320,-0.6,5.8123876865580675
Seaquest-v5,1340,-0.2,5.732382656149566
Seaquest-v5,1360,0.6,5.797788537628949
Seaquest-v5,1380,-0.55,6.008829964958132
Seaquest-v5,1400,-1.1,6.156419065035879
Seaquest-v5,1420,-0.75,5.99074492059648
Seaquest-v5,1440,-1.3,6.223114540278911
Seaquest-v5,1460,-0.2,5.927256888411939
Seaquest-v5,1480,-0.4,5.937848818302155
Seaquest-v5,1500,-0.75,5.904380977097898
Seaquest-v5,1520,-1.3,5.87504524435848
Seaquest-v5,1540,0.5,5.942857773154974
Seaquest-v5,1560,-0.8,6.08451417978853
Seaquest-v5,1580,-0.55,6.274475023522973
Seaquest-v5,1600,-1.1,6.47990734860301
Seaquest-v5,1620,-0.5,6.406856824830174
Seaquest-v5,1640,-0.5,6.352991553544999
Seaquest-v5,1660,0.0,6.608449335098267
Seaquest-v5,1680,-1.3,6.720351119227708
Seaquest-v5,1700,-1.0,6.912170741595328
Seaquest-v5,1720,-0.85,7.200354348439723
Seaquest-v5,1740,-0.65,6.892426880486309
Seaquest-v5,1760,-0.05,7.311085554882884
Seaquest-v5,1780,-0.65,7.08126370832324
Seaquest-v5,1800,0.75,7.1772439432516695
Seaquest-v5,1820,-0.55,7.172709602154791
Seaquest-v5,1840,0.1,7.051335855722427
Seaquest-v5,1860,0.05,7.129628457836807
Seaquest-v5,1880,0.4,6.889053346589208
Seaquest-v5,1900,-0.3,7.040872727409005
Seaquest-v5,1920,-0.35,6.8296705471724275
